"id"	"ProteinCount"	"SpeciesCount"	"FunctionalCategory"	"ConsensusFunctionalDescription"
"VOG00069"	1946	1776	"XhXr"	"sp|O64235|DPOL_BPMD2 DNA polymerase"
"VOG00070"	94	94	"Xu"	"REFSEQ Rz-like spanin"
"VOG00071"	299	253	"XhXrXs"	"sp|P03271|PKG1_ADE05 Packaging protein 1"
"VOG00072"	91	14	"Xu"	"REFSEQ hypothetical protein"
"VOG00073"	406	401	"XpXrXs"	"sp|O48446|HCP16_BPSPP Head completion protein gp16"
"VOG00074"	287	156	"XhXp"	"sp|O57245|3BHS_VACCA 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase"
"VOG00075"	45	45	"Xu"	"REFSEQ endolysin"
"VOG00076"	523	522	"XhXs"	"sp|O64333|TIPK_BPN15 Tail tip assembly protein K"
"VOG00077"	211	205	"XhXs"	"sp|Q7Y5D9|FIBL2_BPT5 Collar protein p132"
"VOG00078"	276	205	"Xh"	"sp|Q6QGH9|OBP_BPT5 Putative replication origin binding protein"
"VOG00079"	85	22	"Xu"	"sp|F5H9I4|US13_HCMVM Membrane protein US13"
"VOG00080"	285	284	"Xu"	"REFSEQ head closure Hc1"
"VOG00081"	186	177	"Xu"	"REFSEQ hypothetical protein"
"VOG00082"	70	69	"Xu"	"REFSEQ hypothetical protein"
"VOG00083"	27	24	"Xu"	"sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246"
"VOG00084"	195	74	"Xu"	"REFSEQ hypothetical protein"
"VOG00085"	194	141	"Xu"	"sp|P03756|EA22_LAMBD Protein ea22"
"VOG00086"	62	52	"Xu"	"sp|O55709|069L_IIV6 Putative Bro-N domain-containing protein 069L"
"VOG00087"	100	25	"Xu"	"sp|Q5UP86|YL012_MIMIV Uncharacterized protein L12"
"VOG00088"	105	19	"Xh"	"sp|Q5UPR0|YL768_MIMIV Putative ankyrin repeat protein L768"
"VOG00089"	73	65	"Xu"	"REFSEQ hypothetical protein"
"VOG00090"	1550	1484	"Xh"	"sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha"
"VOG00091"	55	35	"Xh"	"sp|Q5UQC1|YL232_MIMIV Putative serine/threonine-protein kinase L232"
"VOG00092"	169	165	"Xu"	"REFSEQ hypothetical protein"
"VOG00093"	219	121	"Xr"	"sp|P54992|YSNA_STRPR Putative RNA-guided DNA endonuclease"
"VOG00094"	69	64	"XhXr"	"sp|P25479|VPP_BPP2 Terminase, ATPase subunit"
"VOG00095"	443	430	"Xu"	"sp|P15075|HDNUC_BPT4 Head completion nuclease"
"VOG00096"	55	49	"Xh"	"sp|P07072|TEV2_BPT4 Intron-associated endonuclease 2"
"VOG00097"	447	447	"XhXpXrXs"	"sp|P03726|EXLYS_BPT7 Peptidoglycan transglycosylase gp16"
"VOG00098"	175	175	"Xu"	"REFSEQ nucleotidyltransferase"
"VOG00099"	224	166	"XhXpXs"	"sp|A0A7H0DN78|DUSP_MONPV Dual specificity protein phosphatase OPG106"
"VOG00100"	809	808	"Xu"	"sp|O64216|VG22_BPMD2 Gene 22 protein"
"VOG00101"	41	39	"Xu"	"REFSEQ HNH endonuclease"
"VOG00102"	20	20	"Xu"	"REFSEQ tail fiber protein"
"VOG00103"	626	241	"Xu"	"sp|P13307|Y06B_BPT4 Uncharacterized 7.1 kDa protein in tk-vs intergenic region"
"VOG00104"	55	48	"Xu"	"REFSEQ hypothetical protein"
"VOG00105"	133	128	"Xu"	"sp|P14108|Y7K8_BPP22 Uncharacterized 7.8 kDa protein in ral-gp17 intergenic region"
"VOG00106"	253	253	"Xu"	"sp|P18679|RCRO_BPHK0 8.4 kDa cro protein"
"VOG00107"	31	18	"Xu"	"REFSEQ homing endonuclease"
"VOG00108"	297	273	"Xh"	"sp|P33658|RPSG_CLOAB RNA polymerase sigma-G factor"
"VOG00109"	38	29	"Xu"	"REFSEQ hypothetical protein"
"VOG00110"	94	84	"Xh"	"sp|Q07G10|ALKB8_XENTR Alkylated DNA repair protein alkB homolog 8"
"VOG00111"	58	51	"Xu"	"REFSEQ hypothetical protein"
"VOG00112"	72	70	"Xh"	"sp|Q4JBG0|NAT_SULAC N-alpha-acetyltransferase"
"VOG00113"	20	19	"Xu"	"REFSEQ tail fiber protein"
"VOG00114"	1300	968	"XhXr"	"sp|P32270|DDA_BPT4 ATP-dependent DNA helicase dda"
"VOG00115"	519	491	"Xh"	"sp|Q5UQ22|YL207_MIMIV Putative helicase L207/L206"
"VOG00116"	72	60	"Xu"	"REFSEQ replication initiation protein"
"VOG00117"	154	148	"Xu"	"sp|P20319|V55_BPT3 Gene 5.5 protein"
"VOG00118"	55	21	"Xu"	"REFSEQ hypothetical protein"
"VOG00119"	54	40	"Xu"	"sp|O10293|Y030_NPVOP Uncharacterized 52.7 kDa protein"
"VOG00120"	41	6	"Xu"	"sp|P16720|UL06_HCMVA Uncharacterized protein UL6"
"VOG00121"	95	94	"Xu"	"REFSEQ hypothetical protein"
"VOG00122"	103	103	"Xu"	"sp|P45925|YQBI_BACSU Uncharacterized protein YqbI"
"VOG00123"	25	25	"XhXr"	"sp|P03690|VR2A_BPT4 Protein rIIA"
"VOG00124"	156	143	"Xu"	"REFSEQ hypothetical protein"
"VOG00125"	118	90	"Xu"	"sp|Q8QL20|Y356_SIRV1 Uncharacterized protein 356"
"VOG00126"	43	42	"Xu"	"REFSEQ hypothetical protein"
"VOG00127"	833	832	"Xu"	"sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44"
"VOG00128"	89	53	"Xu"	"sp|P03049|RMNT_BPP22 Regulatory protein mnt"
"VOG00129"	146	146	"Xu"	"REFSEQ head scaffolding protein"
"VOG00130"	90	84	"Xu"	"REFSEQ hypothetical protein"
"VOG00131"	156	121	"Xr"	"sp|Q7T6Y0|PCNA_MIMIV Probable DNA polymerase sliding clamp"
"VOG00132"	224	224	"Xu"	"REFSEQ holin"
"VOG00133"	164	65	"Xu"	"REFSEQ hypothetical protein"
"VOG00134"	319	244	"Xu"	"REFSEQ hypothetical protein"
"VOG00135"	875	853	"Xu"	"sp|P04536|EXOD_BPT4 Exodeoxyribonuclease"
"VOG00136"	1241	1145	"XhXr"	"sp|P36279|REP_TLCVA Replication-associated protein"
"VOG00137"	81	81	"Xu"	"REFSEQ hypothetical protein"
"VOG00138"	84	82	"Xh"	"sp|C7IZ16|GNA2_ORYSJ Probable glucosamine 6-phosphate N-acetyltransferase 2"
"VOG00139"	37	35	"Xh"	"sp|Q00092|HELI_ICHVA Probable ATP-dependent helicase 25"
"VOG00140"	23	23	"XpXs"	"sp|Q6XQB2|FIBER_BPT1 Probable tail fiber protein"
"VOG00141"	275	140	"Xu"	"REFSEQ tail assembly chaperone"
"VOG00142"	53	31	"Xu"	"REFSEQ HNH endonuclease"
"VOG00143"	34	24	"Xu"	"sp|Q5UQ10|YL192_MIMIV Uncharacterized protein L192"
"VOG00144"	46	42	"Xu"	"REFSEQ tail protein"
"VOG00145"	23	23	"Xh"	"sp|P21542|CARE_STRTH 4''-mycarosyl isovaleryl-CoA transferase"
"VOG00146"	218	213	"Xu"	"sp|P32278|Y10B_BPT4 Uncharacterized 11.0 kDa protein in Gp24-hoc intergenic region"
"VOG00147"	34	30	"Xu"	"REFSEQ hypothetical protein"
"VOG00148"	35	24	"Xh"	"sp|Q914K8|Y022_SIFVH Putative helicase 22"
"VOG00149"	94	60	"Xu"	"REFSEQ head maturation protease"
"VOG00150"	95	25	"XhXs"	"sp|Q5UQF0|YL484_MIMIV Putative ankyrin repeat protein L484"
"VOG00151"	33	33	"XhXs"	"sp|P35986|L2MU_ADE12 Late L2 mu core protein"
"VOG00152"	109	21	"Xu"	"sp|Q5UPE6|YR069_MIMIV Uncharacterized protein R69"
"VOG00153"	29	10	"Xu"	"REFSEQ hypothetical protein"
"VOG00154"	252	246	"Xu"	"sp|P10426|YIM2_BPPH1 Uncharacterized immunity region protein 2"
"VOG00155"	26	25	"XhXpXs"	"sp|P51735|FIB31_BPHC1 Probable tail fiber protein"
"VOG00156"	495	460	"XpXrXs"	"sp|P13332|TSP_BPT4 Tail sheath protein"
"VOG00157"	207	199	"Xu"	"REFSEQ hypothetical protein"
"VOG00158"	42	42	"XhXpXs"	"sp|P10930|FIB12_BPT4 Short tail fiber protein gp12"
"VOG00159"	24	23	"Xu"	"sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246"
"VOG00160"	23	21	"Xu"	"REFSEQ HNH endonuclease"
"VOG00161"	29	29	"Xu"	"REFSEQ hypothetical protein"
"VOG00162"	194	193	"Xu"	"REFSEQ tail terminator"
"VOG00163"	55	51	"Xu"	"REFSEQ tail protein"
"VOG00164"	250	223	"Xu"	"REFSEQ hypothetical protein"
"VOG00165"	35	35	"Xu"	"sp|Q9T1Q7|VP41_BPAPS Putative protein p41"
"VOG00166"	234	225	"XhXr"	"sp|P46850|RTCB_ECOLI RNA-splicing ligase RtcB"
"VOG00167"	537	511	"XhXp"	"sp|Q38156|DAM_BPT1 DNA N-6-adenine-methyltransferase"
"VOG00168"	442	442	"Xu"	"REFSEQ coat protein"
"VOG00169"	185	170	"Xu"	"REFSEQ hypothetical protein"
"VOG00170"	1058	1057	"XpXrXs"	"sp|O64207|PORTL_BPMD2 Portal protein"
"VOG00171"	208	199	"Xu"	"sp|Q87CA2|Y1186_XYLFT Uncharacterized protein PD_1186"
"VOG00172"	18	17	"Xu"	"REFSEQ tail length tape measure protein"
"VOG00173"	15	15	"Xu"	"REFSEQ maturation protein"
"VOG00174"	15	15	"Xu"	"sp|O64220|VG26_BPMD2 Minor tail protein Gp26"
"VOG00175"	51	50	"XhXr"	"sp|P03763|TARGB_BPMU ATP-dependent target DNA activator B"
"VOG00176"	92	90	"Xu"	"REFSEQ hypothetical protein"
"VOG00177"	995	985	"Xh"	"sp|Q7Y4Y9|DNMK_BPR69 Deoxynucleotide monophosphate kinase"
"VOG00178"	21	21	"Xu"	"sp|Q5UPT6|YL245_MIMIV Uncharacterized HNH endonuclease L245"
"VOG00179"	1141	1123	"XhXpXrXs"	"sp|Q6QGD5|PORTL_BPT5 Portal protein"
"VOG00180"	17	17	"Xu"	"REFSEQ replication initiation protein"
"VOG00181"	188	188	"Xu"	"sp|P39251|Y16Q_BPT4 Uncharacterized 7.5 kDa protein in denB-rIIB intergenic region"
"VOG00182"	48	15	"Xu"	"REFSEQ hypothetical protein"
"VOG00183"	43	42	"Xu"	"REFSEQ hypothetical protein"
"VOG00184"	225	225	"XpXrXs"	"sp|P03724|GP14_BPT7 Internal virion protein gp14"
"VOG00185"	24	22	"Xu"	"REFSEQ pectate lyase"
"VOG00186"	31	29	"Xu"	"REFSEQ minor tail protein"
"VOG00187"	31	24	"Xh"	"sp|Q5UQV3|YL371_MIMIV Putative ankyrin repeat protein L371"
"VOG00188"	64	12	"Xu"	"REFSEQ hypothetical protein"
"VOG00189"	189	85	"Xu"	"sp|Q5UQ67|YR506_MIMIV Uncharacterized protein R506"
"VOG00190"	126	70	"XhXpXs"	"sp|Q6SW98|UL33_HCMVM G-protein coupled receptor homolog UL33"
"VOG00191"	30	28	"Xp"	"sp|F5HGJ3|ARBH_HHV8P Apoptosis regulator Bcl-2 homolog"
"VOG00192"	67	12	"Xu"	"REFSEQ hypothetical protein"
"VOG00193"	25	25	"Xu"	"REFSEQ 3B"
"VOG00194"	24	6	"Xu"	"REFSEQ hypothetical protein"
"VOG00195"	4802	4678	"XhXr"	"sp|P17312|TERL_BPT4 Terminase, large subunit"
"VOG00196"	29	29	"Xu"	"sp|O64206|VG13_BPMD2 Gene 13 protein"
"VOG00197"	185	185	"Xu"	"REFSEQ holin"
"VOG00198"	485	485	"Xu"	"REFSEQ hypothetical protein"
"VOG00199"	303	302	"Xu"	"sp|Q8QL42|Y207_SIRV1 Uncharacterized protein 207"
"VOG00200"	147	147	"XhXp"	"sp|P03706|ENLYS_LAMBD Endolysin"
"VOG00201"	27	25	"Xu"	"sp|P59193|YFDT_SHIFL Uncharacterized protein YfdT"
"VOG00202"	37	37	"Xu"	"REFSEQ hypothetical protein"
"VOG00203"	174	151	"Xu"	"REFSEQ hypothetical protein"
"VOG00204"	264	259	"Xu"	"sp|Q05247|VG37_BPML5 Gene 37 protein"
"VOG00205"	17	17	"Xu"	"sp|P18305|443R_IIV6 Uncharacterized protein 443R"
"VOG00206"	392	389	"Xu"	"REFSEQ baseplate protein"
"VOG00207"	215	215	"Xu"	"REFSEQ Rz-like spanin"
"VOG00208"	66	66	"Xu"	"REFSEQ hypothetical protein"
"VOG00209"	38	38	"Xu"	"REFSEQ hypothetical protein"
"VOG00210"	116	116	"Xu"	"REFSEQ hypothetical protein"
"VOG00211"	298	295	"Xs"	"sp|P03616|COAT_BPPRR Coat protein"
"VOG00212"	13	12	"Xu"	"sp|P45918|YQBB_BACSU Uncharacterized protein YqbB"
"VOG00213"	544	197	"Xu"	"sp|P39507|Y14D_BPT4 Uncharacterized 14.7 kDa protein in frd-Gp32 intergenic region"
"VOG00214"	42	38	"Xu"	"REFSEQ hypothetical protein"
"VOG00215"	33	31	"Xu"	"REFSEQ minor tail protein"
"VOG00216"	16	14	"Xu"	"REFSEQ structural protein"
"VOG00217"	88	83	"Xu"	"REFSEQ hypothetical protein"
"VOG00218"	565	532	"Xh"	"sp|P32277|RLIG2_BPT4 RNA ligase 2"
"VOG00219"	774	761	"Xu"	"sp|O64253|VG61_BPMD2 Gene 61 protein"
"VOG00220"	471	470	"Xh"	"sp|A7IY64|ISAA_STAXY Probable transglycosylase IsaA"
"VOG00221"	187	179	"Xu"	"sp|Q5UQ73|YL509_MIMIV Uncharacterized protein L509"
"VOG00222"	23	23	"XhXr"	"sp|P03690|VR2A_BPT4 Protein rIIA"
"VOG00223"	135	133	"Xu"	"sp|O31968|YOMP_BACSU SPbeta prophage-derived uncharacterized protein YomP"
"VOG00224"	105	105	"Xu"	"REFSEQ hypothetical protein"
"VOG00225"	14	13	"Xu"	"REFSEQ hypothetical protein"
"VOG00226"	22	22	"Xh"	"sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW"
"VOG00227"	145	28	"XhXp"	"sp|A0A7H0DNE4|PG176_MONPV Protein OPG176"
"VOG00228"	407	391	"Xu"	"sp|P03720|VPIP_BPT4 Prehead core component PIP"
"VOG00229"	27	8	"Xu"	"REFSEQ hypothetical protein"
"VOG00230"	25	13	"Xu"	"REFSEQ hypothetical protein"
"VOG00231"	31	27	"Xh"	"sp|Q5UQ62|YR655_MIMIV Putative glycosyltransferase R655"
"VOG00232"	335	331	"XhXr"	"sp|Q07846|VE1_HPV04 Replication protein E1"
"VOG00233"	64	12	"Xu"	"REFSEQ F-box containing protein"
"VOG00234"	119	119	"XhXs"	"sp|Q9E785|MATRX_BEFVB Matrix protein"
"VOG00235"	112	38	"Xh"	"sp|Q5UQC9|UBC1_MIMIV Probable ubiquitin-conjugating enzyme E2 L460"
"VOG00236"	236	235	"Xu"	"sp|O31977|YOMH_BACSU SPbeta prophage-derived uncharacterized protein YomH"
"VOG00237"	44	43	"Xu"	"REFSEQ hypothetical protein"
"VOG00238"	279	279	"Xu"	"REFSEQ virion structural protein"
"VOG00239"	60	60	"Xu"	"REFSEQ minor tail protein"
"VOG00240"	98	91	"XhXp"	"sp|Q3T4L9|HOLIN_BPPRD Holin"
"VOG00241"	124	120	"Xu"	"REFSEQ hypothetical protein"
"VOG00242"	251	242	"Xu"	"sp|P39416|Y00F_BPT4 Uncharacterized 19.7 kDa protein in motB-dexA intergenic region"
"VOG00243"	127	121	"Xu"	"REFSEQ DNA primase"
"VOG00244"	82	64	"Xu"	"sp|Q8QL40|Y59_SIRV1 Uncharacterized protein 59"
"VOG00245"	69	69	"Xu"	"REFSEQ hypothetical protein"
"VOG00246"	89	81	"Xu"	"REFSEQ hypothetical protein"
"VOG00247"	37	23	"Xu"	"REFSEQ radical SAM domain-containing protein"
"VOG00248"	35	19	"Xu"	"REFSEQ hypothetical protein"
"VOG00249"	772	768	"Xu"	"sp|O31948|YONJ_BACSU SPbeta prophage-derived uncharacterized protein YonJ"
"VOG00250"	179	177	"Xu"	"sp|Q05292|VG77_BPML5 Gene 77 protein"
"VOG00251"	18	17	"Xu"	"REFSEQ replication initiation protein"
"VOG00252"	194	193	"XpXs"	"sp|P07626|VG36_BPK3 Tail fiber protein p36"
"VOG00253"	786	735	"Xu"	"sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29"
"VOG00254"	15	15	"XpXs"	"sp|Q6XQB2|FIBER_BPT1 Probable tail fiber protein"
"VOG00255"	20	20	"Xu"	"REFSEQ replication initiation protein"
"VOG00256"	182	181	"Xu"	"REFSEQ hypothetical protein"
"VOG00257"	25	17	"Xu"	"sp|Q5UQL9|YR423_MIMIV Uncharacterized protein R423"
"VOG00258"	895	884	"XhXp"	"sp|P04522|EXO2_BPT4 Exonuclease subunit 2"
"VOG00259"	1260	760	"XhXr"	"sp|P04526|LOADL_BPT4 Sliding-clamp-loader large subunit"
"VOG00260"	164	94	"Xu"	"sp|O10373|Y145_NPVOP Uncharacterized 11.0 kDa protein"
"VOG00261"	119	118	"Xu"	"REFSEQ hypothetical protein"
"VOG00262"	153	153	"XhXr"	"sp|A4ZU96|KTHY_ABVP Putative thymidylate kinase"
"VOG00263"	16	15	"XhXpXs"	"sp|Q9XJP3|FIBER_BPSFV Tail spike protein"
"VOG00264"	70	70	"Xu"	"REFSEQ hypothetical protein"
"VOG00265"	217	217	"Xu"	"sp|Q9P9T2|Y1581_XYLFA Uncharacterized protein XF_1581/XF_1686"
"VOG00266"	125	122	"Xu"	"sp|Q06425|YO83_BPP2 Uncharacterized 10.2 kDa protein in GpA 5'region"
"VOG00267"	21	20	"XhXr"	"sp|Q8X5V3|DNAB_ECO57 Replicative DNA helicase"
"VOG00268"	71	71	"Xu"	"sp|P59193|YFDT_SHIFL Uncharacterized protein YfdT"
"VOG00269"	539	538	"Xr"	"sp|P20313|SSB_BPT3 Single-stranded DNA-binding protein"
"VOG00270"	304	287	"Xu"	"sp|Q03182|RINA_BPPHA Transcriptional activator rinA"
"VOG00271"	79	70	"Xu"	"sp|Q51647|YISX_BURM1 Insertion element IS401 uncharacterized 12.4 kDa protein"
"VOG00272"	694	683	"Xu"	"sp|P45911|YQAN_BACSU Uncharacterized protein YqaN"
"VOG00273"	99	8	"Xu"	"REFSEQ hypothetical protein"
"VOG00274"	43	39	"Xu"	"REFSEQ hypothetical protein"
"VOG00275"	21	11	"Xu"	"REFSEQ hypothetical protein"
"VOG00276"	18	18	"Xu"	"REFSEQ terminase small subunit"
"VOG00277"	17	17	"Xu"	"REFSEQ tail spike protein"
"VOG00278"	144	139	"Xu"	"REFSEQ hypothetical protein"
"VOG00279"	30	13	"Xu"	"REFSEQ hypothetical protein"
"VOG00280"	103	94	"Xh"	"sp|P07693|ADOM_BPT3 S-Adenosylmethionine lyase"
"VOG00281"	30	29	"Xu"	"REFSEQ holin"
"VOG00282"	16	9	"Xu"	"REFSEQ virion structural protein"
"VOG00283"	70	68	"Xu"	"sp|A4VNI2|Y2887_PSEU5 Uncharacterized protein PST_2887"
"VOG00284"	40	39	"Xu"	"sp|P03798|Y53_BPT7 Protein 5.3"
"VOG00285"	80	80	"Xu"	"REFSEQ hypothetical protein"
"VOG00286"	79	75	"Xu"	"REFSEQ hypothetical protein"
"VOG00287"	63	57	"Xu"	"REFSEQ hypothetical protein"
"VOG00288"	187	153	"Xh"	"sp|O64252|PRXH_BPMD2 Putative non-heme haloperoxidase"
"VOG00289"	14	14	"XhXpXs"	"sp|P10930|FIB12_BPT4 Short tail fiber protein gp12"
"VOG00290"	230	148	"Xu"	"sp|P39240|Y05I_BPT4 Uncharacterized 21.1 kDa protein in mobD-ri intergenic region"
"VOG00291"	102	58	"XhXs"	"sp|A0A7H0DND3|PG162_MONPV Protein OPG162"
"VOG00292"	30	24	"Xs"	"sp|Q5UQN7|CAPS3_MIMIV Probable capsid protein 3"
"VOG00293"	21	13	"Xh"	"sp|I1RF55|AURO_GIBZE FAD-linked oxidoreductase aurO"
"VOG00294"	29	29	"Xu"	"REFSEQ hypothetical protein"
"VOG00295"	118	70	"Xu"	"sp|A4GZ95|ORF3_TTVG1 Uncharacterized ORF3 protein"
"VOG00296"	35	19	"XhXp"	"sp|Q77MQ6|IL8H_GAHVM Viral interleukin-8 homolog"
"VOG00297"	89	89	"Xu"	"REFSEQ virion structural protein"
"VOG00298"	18	3	"Xu"	"REFSEQ hypothetical protein"
"VOG00299"	17	3	"Xu"	"REFSEQ hypothetical protein"
"VOG00300"	28	28	"Xu"	"sp|O31952|YONF_BACSU SPbeta prophage-derived uncharacterized protein YonF"
"VOG00301"	430	425	"XhXr"	"sp|Q38199|GIN_BPD10 Serine recombinase gin"
